105	105	105	6908265
108	108	108	7105644
111	111	111	7303023
114	114	114	7500402
117	117	117	7697781
120	120	120	7895160
123	123	123	8092539
126	126	126	8289918
129	129	129	8487297
132	132	132	8684676
135	135	135	8882055
138	138	138	9079434
141	141	141	9276813
144	144	144	9474192
147	147	147	9671571
150	150	150	9868950
153	153	153	10066329
156	156	156	10263708
159	159	159	10461087
162	162	162	10658466
165	165	165	10855845
168	168	168	11053224
171	171	171	11250603
174	174	174	11447982
177	177	177	11645361
180	180	180	11842740
183	183	183	12040119
186	186	186	12237498
189	189	189	12434877
192	192	192	12632256
195	195	195	12829635
198	198	198	13027014
201	201	201	13224393
204	204	204	13421772
207	207	207	13619151
210	210	210	13816530
213	213	213	14013909
216	216	216	14211288
219	219	219	14408667
222	222	222	14606046
225	225	225	14803425
228	228	228	15000804
231	231	231	15198183
234	234	234	15395562
237	237	237	15592941
240	240	240	15790320
243	243	243	15987699
246	246	246	16185078
249	249	249	16382457
252	252	252	16579836
255	255	255	16777215
