55	55	55	3618615
59	59	59	3881787
63	63	63	4144959
67	67	67	4408131
71	71	71	4671303
75	75	75	4934475
79	79	79	5197647
83	83	83	5460819
87	87	87	5723991
91	91	91	5987163
95	95	95	6250335
99	99	99	6513507
103	103	103	6776679
107	107	107	7039851
111	111	111	7303023
115	115	115	7566195
119	119	119	7829367
123	123	123	8092539
127	127	127	8355711
131	131	131	8618883
135	135	135	8882055
139	139	139	9145227
143	143	143	9408399
147	147	147	9671571
151	151	151	9934743
155	155	155	10197915
159	159	159	10461087
163	163	163	10724259
167	167	167	10987431
171	171	171	11250603
175	175	175	11513775
179	179	179	11776947
183	183	183	12040119
187	187	187	12303291
191	191	191	12566463
195	195	195	12829635
199	199	199	13092807
203	203	203	13355979
207	207	207	13619151
211	211	211	13882323
215	215	215	14145495
219	219	219	14408667
223	223	223	14671839
227	227	227	14935011
231	231	231	15198183
235	235	235	15461355
239	239	239	15724527
243	243	243	15987699
247	247	247	16250871
251	251	251	16514043
255	255	255	16777215
