200	200	200	13158600
196	196	196	12895428
192	192	192	12632256
188	188	188	12369084
184	184	184	12105912
180	180	180	11842740
176	176	176	11579568
172	172	172	11316396
168	168	168	11053224
164	164	164	10790052
160	160	160	10526880
156	156	156	10263708
152	152	152	10000536
148	148	148	9737364
144	144	144	9474192
140	140	140	9211020
136	136	136	8947848
132	132	132	8684676
128	128	128	8421504
124	124	124	8158332
120	120	120	7895160
116	116	116	7631988
112	112	112	7368816
108	108	108	7105644
104	104	104	6842472
100	100	100	6579300
96	96	96	6316128
92	92	92	6052956
88	88	88	5789784
84	84	84	5526612
80	80	80	5263440
76	76	76	5000268
72	72	72	4737096
68	68	68	4473924
64	64	64	4210752
60	60	60	3947580
56	56	56	3684408
52	52	52	3421236
48	48	48	3158064
44	44	44	2894892
40	40	40	2631720
36	36	36	2368548
32	32	32	2105376
28	28	28	1842204
24	24	24	1579032
20	20	20	1315860
16	16	16	1052688
12	12	12	789516
8	8	8	526344
4	4	4	263172
0	0	0	0
